*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2017 233   284   0.000    0.00       0    0.00
 2017 234   285   0.000    0.00       0    0.00
 2017 235   286   0.000    0.00       0    0.00
 2017 236   287   0.000    0.00       0    0.00
 2017 237   288   0.000    0.00       0    0.00
 2017 238   289   0.000    0.00       0    0.00
 2017 239   290   0.000    0.00       0    0.00
 2017 240   291   0.000    0.00       0    0.00
 2017 241   292   0.000    0.00       0    0.00
 2017 242   293   0.000    0.00       0    0.00
 2017 243   294   0.000    0.00       0    0.00
 2017 244   295   0.000    0.00       0    0.00
 2017 245   296   0.000    0.00       0    0.00
 2017 246   297   0.000    0.00       0    0.00
 2017 247   298   0.000    0.00       0    0.00
 2017 248   299   0.000    0.00       0    0.00
 2017 249   300   0.000    0.00       0    0.00
 2017 250   301   0.000    0.00       0    0.00
 2017 251   302   0.000    0.00       0    0.00
 2017 252   303   0.000    0.00       0    0.00
 2017 253   304   0.000    0.00       0    0.00
 2017 254   305   0.000    0.00       0    0.00
 2017 255   306   0.000    0.00       0    0.00
 2017 256   307   0.000    0.00       0    0.00
 2017 257   308   0.000    0.00       0    0.00
 2017 258   309   0.000    0.00       0    0.00
 2017 259   310   0.000    0.00       0    0.00
 2017 260   311   0.000    0.00       0    0.00
 2017 261   312   0.000    0.00       0    0.00
 2017 262   313   0.000    0.00       0    0.00
 2017 263   314   0.000    0.00       0    0.00
 2017 264   315   0.000    0.00       0    0.00
 2017 265   316   0.000    0.00       0    0.00
 2017 266   317   0.000    0.00       0    0.00
 2017 267   318   0.000    0.00       0    0.00
 2017 268   319   0.000    0.00       0    0.00
 2017 269   320   0.000    0.00       0    0.00
 2017 270   321   0.000    0.00       0    0.00
 2017 271   322   0.000    0.00       0    0.00
 2017 272   323   0.000    0.00       0    0.00
 2017 273   324   0.000    0.00       0    0.00
 2017 274   325   0.000    0.00       0    0.00
 2017 275   326   0.000    0.00       0    0.00
 2017 276   327   0.000    0.00       0    0.00
 2017 277   328   0.000    0.00       0    0.00
 2017 278   329   0.000    0.00       0    0.00
 2017 279   330   0.000    0.00       0    0.00
 2017 280   331   0.000    0.00       0    0.00
 2017 281   332   0.000    0.00       0    0.00
 2017 282   333   0.000    0.00       0    0.00
 2017 283   334   0.000    0.00       0    0.00
 2017 284   335   0.000    0.00       0    0.00
 2017 285   336   0.000    0.00       0    0.00
 2017 286   337   0.000    0.00       0    0.00
 2017 287   338   0.000    0.00       0    0.00
 2017 288   339   0.000    0.00       0    0.00
