*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2017 237   288    99   81.4   22.0   59.4   1.65   1.40   91.9   24.5   34.9    1.4   1.40   1.05    0.00    2.45
 2017 238   289   100   81.6   23.7   57.9   1.64   1.37   92.2   23.9   34.0    1.4   1.37   1.05    0.00    2.50
 2017 239   290   101   81.8   25.4   56.4   1.63   1.34   92.5   23.3   33.1    1.3   1.34   1.06    0.00    2.54
 2017 240   291   102   82.1   27.1   55.0   1.62   1.31   92.7   22.8   32.2    1.3   1.31   1.06    0.00    2.59
 2017 241   292   103   82.3   28.7   53.5   1.61   1.28   93.0   22.3   31.3    1.3   1.28   1.07    0.00    2.64
 2017 242   293   104   82.4   30.3   52.1   1.61   1.25   93.2   21.8   30.4    1.2   1.25   1.07    0.00    2.69
 2017 243   294   105   82.6   31.9   50.7   1.60   1.22   93.4   21.2   29.4    1.2   1.22   1.08    0.00    2.74
 2017 244   295   106   82.8   33.5   49.3   1.59   1.19   93.6   20.8   28.5    1.2   1.19   1.08    0.00    2.78
 2017 245   296   107   82.9   35.0   48.0   1.58   1.16   93.8   20.3   27.6    1.2   1.16   1.09    0.00    2.83
 2017 246   297   108   83.1   36.2   46.9   1.57   1.14   94.1   19.9   27.0    1.1   1.14   1.09    0.00    2.88
 2017 247   298   109   83.3   37.7   45.6   1.56   1.12   94.3   19.5   26.1    1.1   1.12   1.09    0.00    2.93
 2017 248   299   110   83.5   39.2   44.4   1.55   1.10   94.5   19.2   25.2    1.1   1.10   1.10    0.00    2.98
 2017 249   300   111   83.8   40.6   43.1   1.54   1.08   94.8   18.8   24.3    1.1   1.08   1.10    0.00    3.02
 2017 250   301   112   84.0   41.7   42.3   1.53   1.06   95.1   18.5   23.8    1.1   1.06   1.11    0.00    3.07
 2017 251   302   113   84.2   42.7   41.5   1.52   1.05   95.3   18.2   23.3    1.0   1.05   1.11    0.00    3.12
 2017 252   303   114   84.4   44.1   40.4   1.51   1.03   95.6   17.9   22.5    1.0   1.03   1.12    0.00    3.17
 2017 253   304   115   84.6   45.4   39.2   1.50   1.01   95.8   17.7   21.5    1.0   1.01   1.12    0.00    3.21
 2017 254   305   116   84.8   46.6   38.2   1.50   1.00   96.0   17.4   20.8    1.0   1.00   1.12    0.00    3.26
 2017 255   306   117   85.1   47.8   37.3   1.49   0.98   96.3   17.2   20.1    1.0   0.98   1.13    0.00    3.31
 2017 256   307   118   85.3   49.2   36.1   1.48   0.97   96.6   16.9   19.2    1.0   0.97   1.13    0.00    3.36
 2017 257   308   119   85.5   50.5   35.0   1.47   0.96   96.8   16.7   18.3    1.0   0.96   1.13    0.00    3.40
 2017 258   309   120   85.7   51.8   33.9   1.46   0.94   97.0   16.5   17.4    0.9   0.94   1.14    0.00    3.45
 2017 259   310   121   85.9   53.1   32.7   1.45   0.93   97.2   16.2   16.5    0.9   0.93   1.14    0.00    3.50
 2017 260   311   122   86.0   54.4   31.5   1.44   0.91   97.4   15.9   15.6    0.9   0.91   1.15    0.00    3.55
 2017 261   312   123   86.1   55.7   30.4   1.44   0.90   97.6   15.7   14.7    0.9   0.90   1.15    0.00    3.59
 2017 262   313   124   86.2   56.1   30.1   1.43   0.90   97.7   15.7   14.4    0.9   0.90   1.15    0.00    3.64
 2017 263   314   125   86.4   56.5   29.9   1.43   0.89   97.9   15.6   14.3    0.9   0.89   1.16    0.00    3.69
 2017 264   315   126   86.5   56.8   29.7   1.43   0.89   98.0   15.5   14.2    0.9   0.89   1.16    0.00    3.73
 2017 265   316   127   86.7   57.2   29.5   1.43   0.88   98.2   15.4   14.1    0.9   0.88   1.16    0.00    3.78
 2017 266   317   128   86.8   57.5   29.3   1.43   0.87   98.4   15.3   14.0    0.9   0.87   1.17    0.00    3.83
 2017 267   318   129   86.9   57.9   29.1   1.43   0.87   98.5   15.2   13.9    0.9   0.87   1.17    0.00    3.87
 2017 268   319   130   87.1   58.2   28.9   1.43   0.86   98.7   15.1   13.8    0.9   0.86   1.17    0.00    3.92
 2017 269   320   131   87.2   58.5   28.7   1.43   0.86   98.8   15.0   13.8    0.9   0.86   1.18    0.00    3.96
 2017 270   321   132   87.4   58.8   28.6   1.42   0.85   99.0   14.9   13.7    0.9   0.85   1.18    0.00    4.01
 2017 271   322   133   87.5   59.0   28.4   1.42   0.85   99.1   14.8   13.6    0.8   0.85   1.18    0.00    4.06
 2017 272   323   134   87.6   59.3   28.3   1.42   0.85   99.3   14.8   13.6    0.8   0.85   1.18    0.00    4.10
 2017 273   324   135   87.7   59.6   28.2   1.42   0.84   99.4   14.7   13.5    0.8   0.84   1.18    0.00    4.15
 2017 274   325   136   87.8   59.8   28.0   1.42   0.84   99.5   14.6   13.4    0.8   0.84   1.19    0.00    4.19
 2017 275   326   137   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 276   327   138   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 277   328   139   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 278   329   140   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 279   330   141   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 280   331   142   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 281   332   143   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 282   333   144   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 283   334   145   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 284   335   146   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 285   336   147   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 286   337   148   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 287   338   149   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
 2017 288   339   150   87.9   60.0   27.8   1.42   0.83   99.6   14.5   13.3    0.8   0.83   1.19    0.00    4.24
