*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2017 046    97       0   12960   64386       0   64386   62924  1462.1    0.00  1822.4  8912.5    0.00  8912.5  8872.2   40.31
 2017 047    98       0   12962   64383       0   64383   62926  1456.5    0.00  1822.5  8912.5    0.00  8912.5  8872.3   40.10
 2017 048    99       0   12964   64379       0   64379   62929  1449.5    0.00  1822.7  8912.4    0.00  8912.4  8872.6   39.84
 2017 049   100       0   12965   64375       0   64375   62932  1442.5    0.00  1822.8  8912.4    0.00  8912.4  8872.8   39.58
 2017 050   101       0   12967   64371       0   64371   62935  1435.9    0.00  1822.9  8912.4    0.00  8912.4  8873.0   39.34
 2017 051   102       0   12969   64366       0   64366   62939  1427.4    0.00  1823.1  8912.3    0.00  8912.3  8873.3   39.03
 2017 052   103       0   12972   64360       0   64360   62943  1416.8    0.00  1823.3  8912.3    0.00  8912.3  8873.6   38.64
 2017 053   104       0   12975   64353       0   64353   62949  1403.9    0.00  1823.6  8912.2    0.00  8912.2  8874.1   38.17
 2017 054   105       0   12980   64343       0   64343   62956  1386.9    0.00  1823.9  8912.1    0.00  8912.1  8874.6   37.54
 2017 055   106       0   12985   64331       0   64331   62966  1365.5    0.00  1824.3  8912.1    0.00  8912.1  8875.3   36.76
 2017 056   107       0   12991   64318       0   64318   62975  1343.1    0.00  1824.8  8912.0    0.00  8912.0  8876.0   35.94
 2017 057   108       0   12995   64309       0   64309   62982  1327.4    0.00  1825.1  8911.9    0.00  8911.9  8876.5   35.36
 2017 058   109       0   12998   64302       0   64302   62987  1314.8    0.00  1825.4  8911.8    0.00  8911.8  8876.9   34.90
 2017 059   110       0   13001   64297       0   64297   62991  1305.9    0.00  1825.6  8911.8    0.00  8911.8  8877.2   34.58
 2017 060   111       0   13003   64293       0   64293   62994  1298.8    0.00  1825.7  8911.8    0.00  8911.8  8877.5   34.32
 2017 061   112       0   13004   64289       0   64289   62997  1292.5    0.00  1825.8  8911.7    0.00  8911.7  8877.7   34.08
 2017 062   113       0   13005   64287       0   64287   62999  1288.0    0.00  1825.9  8911.7    0.00  8911.7  8877.8   33.92
 2017 063   114       0   13007   64284       0   64284   63001  1283.2    0.00  1826.0  8911.7    0.00  8911.7  8878.0   33.74
 2017 064   115       0   13008   64281       0   64281   63003  1278.2    0.00  1826.1  8911.7    0.00  8911.7  8878.1   33.56
 2017 065   116       0   13009   64278       0   64278   63005  1273.7    0.00  1826.2  8911.6    0.00  8911.6  8878.3   33.40
 2017 066   117       0   13010   64276       0   64276   63006  1269.5    0.00  1826.3  8911.6    0.00  8911.6  8878.4   33.25
 2017 067   118       0   13011   64273       0   64273   63008  1265.2    0.00  1826.4  8911.6    0.00  8911.6  8878.5   33.09
 2017 068   119       0   13012   64271       0   64271   63010  1260.8    0.00  1826.4  8911.6    0.00  8911.6  8878.7   32.93
 2017 069   120       0   13014   64267       0   64267   63012  1255.0    0.00  1826.6  8911.5    0.00  8911.5  8878.8   32.72
 2017 070   121       0   13016   64263       0   64263   63015  1247.7    0.00  1826.7  8911.5    0.00  8911.5  8879.1   32.45
 2017 071   122       0   13017   64259       0   64259   63019  1240.2    0.00  1826.8  8911.5    0.00  8911.5  8879.3   32.17
 2017 072   123       0   13019   64255       0   64255   63021  1234.3    0.00  1827.0  8911.4    0.00  8911.4  8879.5   31.96
