*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                  Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2016 364    49   26263   0.936   10981   0.388   27909   0.995   10981   0.388     64491       0   64491    8645   15619   10934    5538   23756       0     206      58     108      11       6      23    1197     155     277     208     105     452   61442    7889   14131   10715    5427   23281       0    1646     543    1103       0       0       0       0    1146     376     769       0       0       0       0     500     166     334       0       0       0       0       0     187
 2016 365    50   26265   0.936   10981   0.388   27906   0.995   10981   0.388     64489       0   64489    8644   15617   10934    5538   23756       0     208      59     109      11       6      23    1197     155     278     208     105     452   61442    7889   14131   10715    5427   23281       0    1641     541    1100       0       0       0       0    1141     375     766       0       0       0       0     500     166     334       0       0       0       0       0     190
 2016 366    51   26267   0.936   10981   0.388   27903   0.995   10981   0.388     64486       0   64486    8643   15616   10934    5538   23756       0     210      60     111      11       6      23    1198     155     278     208     105     452   61442    7889   14131   10715    5427   23281       0    1636     540    1097       0       0       0       0    1136     373     763       0       0       0       0     500     166     333       0       0       0       0       0     193
 2017 001    52   26269   0.937   10981   0.388   27900   0.995   10981   0.388     64483       0   64483    8642   15614   10934    5538   23756       0     212      60     112      11       6      23    1198     155     278     208     105     452   61442    7889   14131   10715    5427   23281       0    1631     538    1093       0       0       0       0    1132     372     760       0       0       0       0     500     166     333       0       0       0       0       0     196
 2017 002    53   26271   0.937   10981   0.388   27898   0.995   10981   0.388     64481       0   64481    8641   15612   10934    5538   23756       0     214      61     113      11       6      23    1198     155     278     208     105     452   61442    7889   14131   10715    5427   23281       0    1627     536    1091       0       0       0       0    1127     370     757       0       0       0       0     499     166     333       0       0       0       0       0     198
 2017 003    54   26273   0.937   10981   0.388   27896   0.995   10981   0.388     64478       0   64478    8640   15611   10934    5538   23756       0     216      62     114      11       6      23    1198     155     278     208     105     452   61442    7888   14131   10715    5427   23281       0    1623     535    1088       0       0       0       0    1124     369     755       0       0       0       0     499     166     333       0       0       0       0       0     200
 2017 004    55   26275   0.937   10981   0.388   27893   0.994   10981   0.388     64476       0   64476    8640   15609   10934    5538   23756       0     217      62     115      11       6      23    1198     155     278     208     105     452   61442    7888   14131   10715    5427   23280       0    1619     534    1085       0       0       0       0    1119     368     752       0       0       0       0     499     166     333       0       0       0       0       0     203
 2017 005    56   26277   0.937   10981   0.388   27891   0.994   10981   0.388     64473       0   64473    8639   15608   10934    5538   23756       0     219      63     117      11       6      23    1198     155     278     208     105     452   61442    7888   14131   10715    5427   23280       0    1614     532    1082       0       0       0       0    1115     366     749       0       0       0       0     499     166     333       0       0       0       0       0     205
 2017 006    57   26279   0.937   10981   0.388   27889   0.994   10981   0.388     64471       0   64471    8638   15606   10934    5538   23756       0     221      64     118      11       6      23    1198     155     278     208     105     452   61442    7888   14131   10715    5427   23280       0    1610     531    1079       0       0       0       0    1111     365     746       0       0       0       0     499     166     333       0       0       0       0       0     208
 2017 007    58   26280   0.937   10981   0.388   27886   0.994   10981   0.388     64469       0   64469    8637   15605   10934    5538   23755       0     223      64     119      11       6      23    1199     155     278     208     105     452   61441    7888   14131   10715    5427   23280       0    1606     529    1077       0       0       0       0    1107     363     744       0       0       0       0     499     166     333       0       0       0       0       0     210
 2017 008    59   26282   0.937   10981   0.388   27885   0.994   10981   0.388     64467       0   64467    8637   15603   10934    5538   23755       0     224      65     120      11       6      23    1199     155     278     208     105     452   61441    7888   14131   10715    5427   23280       0    1603     528    1075       0       0       0       0    1104     362     742       0       0       0       0     499     166     333       0       0       0       0       0     212
 2017 009    60   26283   0.937   10981   0.388   27883   0.994   10981   0.388     64465       0   64465    8636   15602   10934    5538   23755       0     225      65     121      11       6      23    1199     155     278     208     105     452   61441    7888   14131   10715    5427   23280       0    1600     528    1073       0       0       0       0    1102     362     740       0       0       0       0     499     166     333       0       0       0       0       0     213
 2017 010    61   26284   0.937   10981   0.388   27882   0.994   10981   0.388     64464       0   64464    8636   15602   10934    5538   23755       0     226      65     121      11       6      23    1199     155     278     208     105     452   61441    7888   14131   10715    5427   23280       0    1598     527    1072       0       0       0       0    1100     361     739       0       0       0       0     498     166     333       0       0       0       0       0     214
 2017 011    62   26284   0.937   10981   0.388   27881   0.994   10981   0.388     64463       0   64463    8636   15601   10934    5538   23755       0     227      65     122      11       6      23    1199     155     278     208     105     452   61441    7888   14131   10715    5427   23280       0    1597     526    1070       0       0       0       0    1098     360     738       0       0       0       0     498     166     333       0       0       0       0       0     215
