*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    
 2017 038    89   5.60   2.40  -4.50  0.421  0.000  0.421  0.421  0.000  0.421  0.000  0.000   36.72   36.72    0.00   36.72    0.00    0.00   0.112   0.085   0.069   0.042   0.026   0.036   0.027   0.023
 2017 039    90   5.70  11.50   2.90  1.081  0.000  1.081  1.081  0.000  1.081  0.000  0.000   37.80   37.80    0.00   37.80    0.00    0.00   0.294   0.223   0.178   0.106   0.066   0.089   0.068   0.056
 2017 040    91   5.70   8.00  -3.30  0.951  0.000  0.951  0.951  0.000  0.951  0.000  0.000   38.75   38.75    0.00   38.75    0.00    0.00   0.264   0.200   0.157   0.091   0.056   0.076   0.058   0.048
 2017 041    92   5.80   0.00 -13.40  0.234  0.000  0.234  0.234  0.000  0.234  0.000  0.000   38.99   38.99    0.00   38.99    0.00    0.00   0.064   0.049   0.039   0.023   0.014   0.019   0.015   0.012
 2017 042    93   5.90   0.00  -9.10  0.256  0.000  0.256  0.256  0.000  0.256  0.000  0.000   39.24   39.24    0.00   39.24    0.00    0.00   0.070   0.053   0.042   0.025   0.015   0.021   0.016   0.013
 2017 043    94   5.90   4.70  -2.20  0.726  0.000  0.726  0.726  0.000  0.726  0.000  0.000   39.97   39.97    0.00   39.97    0.00    0.00   0.199   0.151   0.120   0.071   0.044   0.059   0.045   0.038
 2017 044    95   6.00  10.40   0.50  1.091  0.000  1.091  1.091  0.000  1.091  0.000  0.000   41.06   41.06    0.00   41.06    0.00    0.00   0.296   0.226   0.180   0.108   0.066   0.090   0.069   0.057
 2017 045    96   6.10   6.80  -4.00  0.984  0.000  0.984  0.984  0.000  0.984  0.000  0.000   42.04   42.04    0.00   42.04    0.00    0.00   0.265   0.203   0.162   0.098   0.060   0.082   0.062   0.052
 2017 046    97   6.10   6.10  -0.40  1.015  0.000  1.015  1.015  0.000  1.015  0.000  0.000   43.06   43.06    0.00   43.06    0.00    0.00   0.270   0.209   0.167   0.102   0.063   0.085   0.065   0.054
 2017 047    98   6.20   8.50  -4.00  1.031  0.000  1.031  1.031  0.000  1.031  0.000  0.000   44.09   44.09    0.00   44.09    0.00    0.00   0.272   0.212   0.170   0.104   0.064   0.087   0.067   0.055
 2017 048    99   6.30   2.80  -1.60  0.533  0.000  0.533  0.533  0.000  0.533  0.000  0.000   44.62   44.62    0.00   44.62    0.00    0.00   0.139   0.109   0.088   0.054   0.033   0.045   0.035   0.029
 2017 049   100   6.40   5.20  -1.70  1.028  0.000  1.028  1.028  0.000  1.028  0.000  0.000   45.65   45.65    0.00   45.65    0.00    0.00   0.268   0.210   0.169   0.105   0.065   0.088   0.067   0.056
 2017 050   101   6.40  18.10   3.50  1.349  0.000  1.349  1.349  0.000  1.349  0.000  0.000   47.00   47.00    0.00   47.00    0.00    0.00   0.349   0.275   0.222   0.139   0.086   0.116   0.089   0.074
 2017 051   102   6.50  18.90   0.80  1.349  0.000  1.349  1.349  0.000  1.349  0.000  0.000   48.35   48.35    0.00   48.35    0.00    0.00   0.345   0.275   0.222   0.139   0.086   0.118   0.090   0.074
 2017 052   103   6.60  18.40   6.50  1.435  0.000  1.435  1.435  0.000  1.435  0.000  0.000   49.78   49.78    0.00   49.78    0.00    0.00   0.362   0.292   0.237   0.149   0.093   0.126   0.096   0.080
 2017 053   104   6.70  19.50  10.90  1.538  0.000  1.538  1.538  0.000  1.538  0.000  0.000   51.32   51.32    0.00   51.32    0.00    0.00   0.400   0.308   0.251   0.159   0.099   0.134   0.103   0.085
 2017 054   105   6.70  17.70   8.90  1.479  0.000  1.479  1.479  0.000  1.479  0.000  0.000   52.80   52.80    0.00   52.80    0.00    0.00   0.395   0.292   0.238   0.152   0.095   0.129   0.098   0.081
 2017 055   106   6.80  19.30   5.50  1.486  0.000  1.486  1.486  0.000  1.486  0.000  0.000   54.29   54.29    0.00   54.29    0.00    0.00   0.391   0.293   0.240   0.154   0.096   0.130   0.100   0.082
