*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2017 032    83    0.0    9.8   10.9    5.2   10.4   0.58    3.4   -6.0   -1.8    0.1   -2.7   -1.8    0.1  617.8  400.5
 2017 033    84    0.0    9.8   11.0    5.3   10.6   0.57    4.4   -0.7    1.6    2.6   -1.0    1.6    2.6  466.2  400.5
 2017 034    85    0.0    9.9   11.0    5.3   10.6   0.58    1.7  -10.6   -5.1   -2.6  -10.1   -5.1   -2.6  461.0  400.5
 2017 035    86    0.0    9.9   11.0    5.4   10.8   0.57    0.0  -10.4   -5.7   -3.6  -13.4   -5.7   -3.6  382.3  400.5
 2017 036    87    0.0   10.0   11.1    5.5   11.0   0.57    0.0  -11.1   -6.1   -3.8  -14.0   -6.1   -3.8  323.2  400.5
 2017 037    88    0.1   10.0   11.1    5.5   11.0   0.58    0.0   -4.3   -2.4   -1.5   -8.7   -2.4   -1.5  544.7  400.5
 2017 038    89    0.0   10.0   11.1    5.6   11.2   0.57    2.4   -4.5   -1.4   -0.2   -4.4   -1.4   -0.2  211.8  400.5
 2017 039    90   10.7   10.1   11.2    5.7   11.4   0.57   11.5    2.9    6.8    8.3    4.9    6.8    8.3  328.5  400.5
 2017 040    91    0.3   10.1   11.2    5.7   11.4   0.58    8.0   -3.3    1.8    3.8   -0.3    1.8    3.8  447.1  400.5
 2017 041    92    0.1   10.2   11.2    5.8   11.6   0.57    0.0  -13.4   -7.3   -5.0  -11.8   -7.3   -5.0  360.4  400.5
 2017 042    93    0.0   10.2   11.3    5.9   11.8   0.57    0.0   -9.1   -5.0   -3.4  -11.7   -5.0   -3.4  462.2  400.5
 2017 043    94    0.0   10.2   11.3    5.9   11.8   0.58    4.7   -2.2    0.9    2.1    0.2    0.9    2.1  326.1  400.5
 2017 044    95    0.0   10.3   11.4    6.0   12.0   0.57   10.4    0.5    5.0    6.7    1.8    5.0    6.7  286.4  400.5
 2017 045    96    0.1   10.3   11.4    6.1   12.2   0.57    6.8   -4.0    0.9    2.8   -4.0    0.9    2.8  488.4  400.5
 2017 046    97    0.0   10.4   11.4    6.1   12.2   0.58    6.1   -0.4    2.6    3.7   -2.4    2.6    3.7  433.8  400.5
 2017 047    98    0.0   10.4   11.5    6.2   12.4   0.58    8.5   -4.0    1.7    3.9   -3.2    1.7    3.9  456.4  400.5
 2017 048    99    0.0   10.4   11.5    6.3   12.6   0.57    2.8   -1.6    0.4    1.2   -6.1    0.4    1.2  304.1  400.5
 2017 049   100    0.1   10.5   11.6    6.4   12.8   0.57    5.2   -1.7    1.5    2.7   -3.0    1.5    2.7  294.4  400.5
 2017 050   101    0.0   10.5   11.6    6.4   12.8   0.58   18.1    3.5   10.2   12.8    3.5   10.2   12.8  356.0  400.5
 2017 051   102    0.0   10.6   11.6    6.5   13.0   0.58   18.9    0.8    9.1   12.4    2.9    9.1   12.4  159.4  400.5
 2017 052   103    0.0   10.6   11.7    6.6   13.2   0.58   18.4    6.5   12.0   14.1    5.5   12.0   14.1  262.1  400.5
 2017 053   104    1.9   10.7   11.7    6.7   13.4   0.57   19.5   10.9   14.9   16.4   11.2   14.9   16.4  454.6  400.5
 2017 054   105    0.0   10.7   11.8    6.7   13.4   0.58   17.7    8.9   13.0   14.6   10.2   13.0   14.6  224.3  400.5
 2017 055   106    0.0   10.8   11.8    6.8   13.6   0.58   19.3    5.5   11.9   14.4    9.9   11.9   14.4  466.5  400.5
 2017 056   107    5.0   10.8   11.9    6.9   13.8   0.58    9.6    2.3    5.7    7.0    3.5    5.7    7.0  481.4  400.5
 2017 057   108    0.0   10.9   11.9    7.0   14.0   0.58    4.3   -6.9   -1.7    0.4   -1.8   -1.7    0.4  413.2  400.5
 2017 058   109    0.0   10.9   11.9    7.1   14.2   0.58    0.0   -5.7   -3.1   -2.0   -7.5   -3.1   -2.0  449.5  400.5
 2017 059   110    0.3   10.9   12.0    7.1   14.2   0.58    7.8   -2.5    2.3    4.2   -2.0    2.3    4.2  411.2  400.5
 2017 060   111    0.1   11.0   12.0    7.2   14.4   0.58   10.9    4.9    7.7    8.8    4.4    7.7    8.8  424.2  400.5
 2017 061   112   14.2   11.0   12.1    7.3   14.6   0.58   15.0    4.1    9.2   11.2    9.9    9.2   11.2  410.3  400.5
 2017 062   113    0.1   11.1   12.1    7.4   14.8   0.58    3.8   -2.4    0.5    1.7   -1.7    0.5    1.7  571.2  400.5
 2017 063   114    0.0   11.1   12.2    7.5   15.0   0.58    0.1   -7.4   -3.9   -2.5   -8.8   -3.9   -2.5  359.9  400.5
 2017 064   115    0.3   11.2   12.2    7.6   15.2   0.58    0.4   -3.8   -1.8   -1.0   -6.4   -1.8   -1.0  297.6  400.5
 2017 065   116    0.0   11.2   12.3    7.6   15.2   0.58    5.2   -0.6    2.1    3.2   -1.3    2.1    3.2  647.8  400.5
 2017 066   117    0.0   11.3   12.3    7.7   15.4   0.58   13.9    4.6    9.0   10.7    6.7    9.0   10.7  675.6  400.5
 2017 067   118    6.7   11.3   12.4    7.8   15.6   0.58   17.3    4.0   10.2   12.8    9.9   10.2   12.8  871.2  400.5
 2017 068   119    0.2   11.4   12.4    7.9   15.8   0.58    9.8    2.5    5.9    7.3   -2.4    5.9    7.3  642.8  400.5
 2017 069   120    0.0   11.4   12.4    8.0   16.0   0.58    9.7   -3.0    3.0    5.4   -6.4    3.0    5.4  547.8  400.5
 2017 070   121    0.2   11.5   12.5    8.1   16.2   0.58    5.9   -4.8    0.2    2.3   -6.8    0.2    2.3  402.3  400.5
 2017 071   122    0.0   11.5   12.5    8.1   16.2   0.58    0.0   -8.8   -4.6   -2.9  -17.3   -4.6   -2.9  378.8  400.5
 2017 072   123    0.0   11.6   12.6    8.2   16.4   0.58    0.0   -9.4   -5.0   -3.1  -16.7   -5.0   -3.1  198.0  400.5
 2017 073   124    5.6   11.6   12.6    8.3   16.6   0.58    0.7   -3.9   -1.7   -0.8   -9.3   -1.7   -0.8  279.4  400.5
 2017 074   125    0.8   11.7   12.7    8.4   16.8   0.58    0.0   -9.3   -4.9   -3.1   -6.8   -4.9   -3.1  446.0  400.5
 2017 075   126    0.7   11.7   12.7    8.5   17.0   0.58    0.0   -9.7   -5.1   -3.2  -12.1   -5.1   -3.2  376.8  400.5
 2017 076   127    0.0   11.7   12.8    8.6   17.2   0.58    0.0  -10.2   -5.4   -3.3  -11.3   -5.4   -3.3  267.8  400.5
 2017 077   128    1.5   11.8   12.8    8.6   17.2   0.58    5.4   -1.4    1.8    3.2   -3.4    1.8    3.2  351.3  400.5
 2017 078   129    0.0   11.8   12.9    8.7   17.4   0.58   13.5    1.7    7.3    9.7    1.6    7.3    9.7  482.0  400.5
 2017 079   130    0.0   11.9   12.9    8.8   17.6   0.58    5.8   -2.8    1.3    3.0   -1.6    1.3    3.0  236.6  400.5
 2017 080   131    1.9   11.9   13.0    8.9   17.8   0.58   11.1    3.7    7.2    8.7    2.6    7.2    8.7  425.9  400.5
 2017 081   132    0.0   12.0   13.0    9.0   18.0   0.58   14.3    1.1    7.4   10.1    3.8    7.4   10.1  263.8  400.5
 2017 082   133    0.0   12.0   13.1    9.1   18.2   0.58   11.2   -5.3    2.6    5.3   -6.2    2.6    5.3  443.9  400.5
 2017 083   134    0.0   12.1   13.1    9.1   18.2   0.59    4.3   -2.9    0.6    1.7   -6.4    0.6    1.7  349.2  400.5
 2017 084   135    0.0   12.1   13.2    9.2   18.4   0.59   12.9    2.7    7.6    9.3    0.4    7.6    9.3  575.6  400.5
 2017 085   136    8.1   12.2   13.2    9.3   18.6   0.58   26.2    4.4   14.9   18.5    5.6   14.9   18.5  532.4  400.5
 2017 086   137    1.9   12.2   13.3    9.4   18.8   0.58   11.8    5.0    8.3    9.4    7.4    8.3    9.4  407.2  400.5
 2017 087   138    0.0   12.3   13.3    9.5   19.0   0.58   13.7    7.9   10.7   11.7    9.9   10.7   11.7  282.1  400.5
