DAY HR   LAT     LON     DEP       CON
184 10 36.45 -85.85 0.49E-03 4.3E-8    
184 10 36.50 -85.85 0.82E-03 2.9E-8    
184 10 36.55 -85.85 0.20E-05 1.4E-9    
184 10 36.60 -85.85 0.30E-05 1.6E-10    
184 10 36.65 -85.85 0.16E-05 1.1E-8    
184 10 36.70 -85.85 0.14E-07 2.6E-11    
184 10 36.75 -85.85 0.85E-07 1.1E-11    
184 10 36.80 -85.85 0.30E-08 1.5E-11    
184 10 36.85 -85.85 0.18E-09 0.0    
184 10 35.80 -85.80 0.14E-06 0.0    
184 10 35.85 -85.80 0.75E-05 0.0    
184 10 35.90 -85.80 0.16E-02 0.0    
184 10 35.95 -85.80 0.28E-02 9.7E-6    
184 10 36.00 -85.80 0.82E-02 2.5E-5    
184 10 36.05 -85.80 0.65E-02 4.5E-5    
184 10 36.10 -85.80 0.32E-02 1.6E-5    
184 10 36.15 -85.80 0.34E-02 2.9E-5    
184 10 36.20 -85.80 0.39E-02 1.4E-5    
184 10 36.25 -85.80 0.24E-02 8.7E-6    
184 10 36.30 -85.80 0.49E-02 1.7E-5    
184 10 36.35 -85.80 0.28E-02 1.3E-5    
184 10 36.40 -85.80 0.20E-02 6.9E-6    
184 10 36.45 -85.80 0.64E-03 3.4E-6    
184 10 36.50 -85.80 0.23E-03 4.2E-7    
184 10 36.55 -85.80 0.68E-05 1.7E-9    
184 10 36.60 -85.80 0.16E-05 6.1E-10    
184 10 36.65 -85.80 0.58E-05 3.8E-8    
184 10 36.70 -85.80 0.14E-05 5.9E-9    
184 10 36.75 -85.80 0.38E-07 1.4E-11    
184 10 36.80 -85.80 0.75E-08 0.0    
184 10 36.85 -85.80 0.13E-08 0.0    
184 10 36.90 -85.80 0.26E-08 1.4E-11    
184 10 35.80 -85.75 0.27E-06 0.0    
184 10 35.85 -85.75 0.16E-04 0.0    
184 10 35.90 -85.75 0.42E-02 2.3E-5    
184 10 35.95 -85.75 0.25E-03 1.4E-6    
184 10 36.00 -85.75 0.87E-02 5.2E-5    
184 10 36.05 -85.75 0.12E-01 6.0E-5    
184 10 36.10 -85.75 0.48E-02 4.2E-5    
184 10 36.15 -85.75 0.40E-02 2.1E-5    
184 10 36.20 -85.75 0.33E-02 4.1E-5    
184 10 36.25 -85.75 0.21E-02 2.0E-7    
184 10 36.30 -85.75 0.33E-02 8.9E-6    
184 10 36.35 -85.75 0.44E-02 2.2E-5    
184 10 36.40 -85.75 0.72E-03 6.4E-7    
184 10 36.45 -85.75 0.34E-03 1.6E-6    
184 10 36.50 -85.75 0.27E-03 4.9E-7    
184 10 36.55 -85.75 0.12E-04 4.6E-9    
