*GROWTH ASPECTS OUTPUT FILE

*RUN   1        :  DRYLAND - 0 KG N/HA     
 MODEL          : CRGRO020 - BAHIA     
 EXPERIMENT     : ALTH5601 G0     ALTH5601G0 BAHIA ON GREENVILLE FINE SANDY LOAM
 TREATMENT  1   :  DRYLAND - 0 KG N/HA     

@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  CWAD  G#AD   GWGD  HIAD  PWAD  P#AD  WSPD  WSGD  NSTD  LN%D  SH%D  HIPD  PWDD  PWTD  SLAD  CHTD  CWID  NWAD  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D  RL10   CDAD   LDAD   SDAD
 1957 198   525   494   2.0     0  0.16    74    75     0   489   149     0    0.0 0.000     0     0 0.000 0.000 0.000  1.49  0.00  0.00     0     0 216.1  0.20 -0.15   0.0  1.89  0.12  0.68  0.10  0.08  0.08  0.08  0.08  0.07  0.07  0.07   4204   2131   2073
 1957 205   532   501   2.6     0  0.20    96    97     0   476   193     0    0.0 0.000     0     0 0.000 0.000 0.172  1.38  0.00  0.00     0     0 207.1  0.23 -0.12   0.0  1.89  0.11  0.66  0.11  0.08  0.08  0.08  0.08  0.07  0.07  0.07   4206   2132   2074
 1957 212   539   508   3.1     0  0.25   121   122     0   465   243     0    0.0 0.000     0     0 0.000 0.000 0.000  1.34  0.00  0.00     0     0 207.9  0.26 -0.09   0.0  1.89  0.10  0.65  0.10  0.08  0.08  0.08  0.08  0.07  0.07  0.07   4208   2134   2074
 1957 219   546   515   1.1     0  0.06    28    29     0   442    57     0    0.0 0.000     0     0 0.000 0.000 0.000  1.27  0.00  0.00     0     0 207.2  0.18 -0.17   0.0  1.89  0.10  0.62  0.10  0.07  0.07  0.08  0.08  0.07  0.07  0.07   4402   2230   2172
 1957 226   553   522   1.7     0  0.08    40    40     0   424    80     0    0.0 0.000     0     0 0.000 0.000 0.000  1.95  0.00  0.00     0     0 201.4  0.20 -0.15   0.0  1.89  0.09  0.59  0.10  0.07  0.07  0.07  0.07  0.07  0.06  0.07   4403   2231   2172
 1957 233   560   529   2.2     0  0.12    62    62     0   414   124     0    0.0 0.000     0     0 0.000 0.000 0.298  1.74  0.00  0.00     0     0 196.3  0.23 -0.12   0.0  1.89  0.09  0.57  0.10  0.07  0.07  0.07  0.07  0.07  0.06  0.06   4404   2231   2172
 1957 240   567   536   2.7     0  0.16    93    92     0   423   185     0    0.0 0.000     0     0 0.000 0.000 0.466  1.27  0.00  0.00     0     0 169.9  0.25 -0.09   0.0  1.89  0.09  0.58  0.12  0.08  0.08  0.08  0.08  0.08  0.07  0.07   4406   2233   2173
 1957 247   574   543   0.8     0  0.05    25    24     0   413    49     0    0.0 0.000     0     0 0.000 0.000 0.000  1.43  0.00  0.00     0     0 192.7  0.19 -0.16   0.0  1.89  0.08  0.56  0.12  0.08  0.08  0.08  0.08  0.08  0.07  0.07   4567   2314   2253
 1957 254   581   550   1.3     0  0.06    32    29     0   398    61     0    0.0 0.000     0     0 0.000 0.000 0.000  2.07  0.00  0.00     0     0 198.4  0.21 -0.14   0.0  1.89  0.08  0.54  0.12  0.08  0.08  0.08  0.08  0.07  0.06  0.07   4567   2314   2253
 1957 261   588   557   1.8     0  0.12    55    49     0   389   104     0    0.0 0.000     0     0 0.000 0.000 0.000  2.12  0.00  0.00     0     0 214.1  0.23 -0.12   0.0  1.89  0.09  0.53  0.10  0.08  0.08  0.08  0.08  0.07  0.06  0.07   4567   2314   2253
 1957 268   595   564   2.3     0  0.17    82    75     0   393   157     0    0.0 0.000     0     0 0.000 0.000 0.000  1.71  0.00  0.00     0     0 203.1  0.25 -0.09   0.0  1.89  0.10  0.53  0.10  0.08  0.08  0.08  0.08  0.08  0.07  0.07   4569   2315   2254
 1957 275   602   571   0.5     0  0.04    20    18     0   397    39     0    0.0 0.000     0     0 0.000 0.000 0.210  1.58  0.00  0.00     0     0 204.9  0.22 -0.13   0.0  1.89  0.10  0.54  0.10  0.09  0.08  0.09  0.09  0.08  0.07  0.07   4717   2393   2324
 1957 282   609   578   0.8     0  0.05    24    20     0   390    44     0    0.0 0.000     0     0 0.000 0.000 0.431  1.74  0.00  0.00     0     0 200.7  0.23 -0.12   0.0  1.89  0.10  0.53  0.10  0.08  0.08  0.08  0.08  0.08  0.07  0.07   4717   2393   2324
 1957 289   616   585   1.1     0  0.06    33    28     0   387    61     0    0.0 0.000     0     0 0.000 0.000 0.401  1.67  0.00  0.00     0     0 185.8  0.23 -0.11   0.0  1.89  0.10  0.53  0.10  0.09  0.08  0.08  0.09  0.08  0.07  0.07   4717   2393   2324
 1957 296   623   592   1.3     0  0.08    39    34     0   383    73     0    0.0 0.000     0     0 0.000 0.000 0.000  1.71  0.00  0.00     0     0 193.7  0.24 -0.10   0.0  1.89  0.10  0.52  0.10  0.09  0.08  0.08  0.08  0.08  0.07  0.07   4717   2393   2324
 1957 303   630   599   1.4     0  0.08    41    34     0   379    75     0    0.0 0.000     0     0 0.000 0.000 0.000  1.83  0.00  0.00     0     0 204.8  0.25 -0.10   0.0  1.89  0.10  0.52  0.10  0.08  0.08  0.08  0.08  0.08  0.07  0.07   4717   2393   2324
 1957 310   637   606   1.6     0  0.10    50    42     0   378    92     0    0.0 0.000     0     0 0.000 0.000 0.432  1.83  0.00  0.00     0     0 195.6  0.25 -0.09   0.0  1.89  0.09  0.52  0.11  0.09  0.08  0.08  0.08  0.08  0.07  0.07   4717   2393   2324
 1957 317   644   613   1.8     0  0.10    54    45     0   377    99     0    0.0 0.000     0     0 0.000 0.000 0.000  1.90  0.00  0.00     0     0 189.5  0.26 -0.08   0.0  1.89  0.09  0.51  0.10  0.09  0.08  0.08  0.08  0.08  0.07  0.07   4718   2394   2324
